,title,author,publisher,ISBN,publish_date
0,"""I GIVE YOU MY BODY ...""",Diana Gabaldon,Dell,"[{'isbn10': '0399178570', 'isbn13': '9780399178573'}]",2016-09-04
1,"""MOST BLESSED OF THE PATRIARCHS""",Annette Gordon-Reed and Peter S Onuf,Liveright,"[{'isbn10': '0871404427', 'isbn13': '9780871404428'}]",2016-05-01
2,#ASKGARYVEE,Gary Vaynerchuk,HarperCollins,"[{'isbn10': '0062273124', 'isbn13': '9780062273123'}, {'isbn10': '0062273132', 'isbn13': '9780062273130'}]",2016-04-10
3,#GIRLBOSS,Sophia Amoruso,Portfolio/Penguin/Putnam,"[{'isbn10': '039916927X', 'isbn13': '9780399169274'}, {'isbn10': '1591847931', 'isbn13': '9781591847939'}]",2016-03-13
4,#IMOMSOHARD,Kristin Hensley and Jen Smedley,HarperOne,"[{'isbn10': '006285769X', 'isbn13': '9780062857699'}]",2019-04-21
5,#NEVERAGAIN,David Hogg and Lauren Hogg,Random House,"[{'isbn10': '198480183X', 'isbn13': '9781984801838'}]",2018-07-08
6,'TIL DEATH DO US PART,Amanda Quick,Berkley,"[{'isbn10': '069819361X', 'isbn13': '9780698193611'}, {'isbn10': '039917446X', 'isbn13': '9780399174469'}]",2016-05-08
7,'TIS THE SEASON,Ron Carr,Harlequin Mira,"[{'isbn10': '0778316645', 'isbn13': '9780778316640'}]",2014-11-30
8,"------, THAT'S DELICIOUS",Action Bronson with Rachel Wharton,Abrams,"[{'isbn10': '1419726552', 'isbn13': '9781419726552'}]",2017-10-01
9,"1,000 PLACES TO SEE BEFORE YOU DIE",Patricia Schultz,Workman,"[{'isbn10': '0761156860', 'isbn13': '9780761156864'}, {'isbn10': '0761104844', 'isbn13': '9780761104841'}]",2015-04-12
10,10-DAY GREEN SMOOTHIE CLEANSE,J J Smith,Atria,"[{'isbn10': '0982301820', 'isbn13': '9780982301821'}, {'isbn10': '1501100114', 'isbn13': '9781501100116'}, {'isbn10': '1501100106', 'isbn13': '9781501100109'}]",2017-01-15
11,100 DEADLY SKILLS,Clint Emerson,Touchstone,"[{'isbn10': '1476796068', 'isbn13': '9781476796062'}, {'isbn10': '147679605X', 'isbn13': '9781476796055'}, {'isbn10': '1501143905', 'isbn13': '9781501143908'}]",2016-11-13
12,101 DOG TRICKS,Kyra Sundance and Chalcy,Quayside,"[{'isbn10': '1592533256', 'isbn13': '9781592533251'}]",2016-03-13
13,108 STITCHES,Ron Darling with Daniel Paisner,St. Martin's,"[{'isbn10': '125018438X', 'isbn13': '9781250232649'}, {'isbn10': '1250184398', 'isbn13': '9781250184399'}]",2019-05-12
14,11/22/63,Stephen King,Pocket Books,"[{'isbn10': '1451627289', 'isbn13': '9781451627282'}, {'isbn10': '1451627297', 'isbn13': '9781451627299'}, {'isbn10': '030795143X', 'isbn13': '9780307951434'}, {'isbn10': '1594135592', 'isbn13': '9781594135590'}, {'isbn10': '1501120603', 'isbn13': '9781501120602'}]",2016-05-08
15,113 MINUTES,James Patterson with Max DiLallo,BookShots,"[{'isbn10': '0316317187', 'isbn13': '9780316317184'}, {'isbn10': '0316361526', 'isbn13': '9780316361521'}]",2016-10-02
16,12,Casey Sherman and Dave Wedge,"Little, Brown","[{'isbn10': '031641638X', 'isbn13': '9780316416382'}]",2018-09-16
17,"12 BEAST, VOL. 3",OKAYADO,Seven Seas Entertainment,"[{'isbn10': '1626922616', 'isbn13': '9781626922617'}]",2016-03-13
18,13 HOURS,Mitchell Zuckoff with members of the Annex Security Team,Twelve,"[{'isbn10': '1455582271', 'isbn13': '9781455582273'}, {'isbn10': '1455530093', 'isbn13': '9781455530090'}, {'isbn10': '1478953195', 'isbn13': '9781478953197'}, {'isbn10': '1455538442', 'isbn13': '9781455538447'}, {'isbn10': '1455538396', 'isbn13': '9781455538393'}, {'isbn10': '145558228X', 'isbn13': '9781455582280'}, {'isbn10': '1478961139', 'isbn13': '9781478961130'}, {'isbn10': '1455561843', 'isbn13': '9781455561841'}]",2016-06-26
19,14TH DEADLY SIN,James Patterson and Maxine Paetro,Vision,"[{'isbn10': '031640702X', 'isbn13': '9780316407021'}, {'isbn10': '031640876X', 'isbn13': '9780316408769'}, {'isbn10': '1455584991', 'isbn13': '9781455584994'}, {'isbn10': '1455584983', 'isbn13': '9781455584987'}]",2016-06-12
20,15TH AFFAIR,James Patterson and Maxine Paetro,Grand Central,"[{'isbn10': '0316407070', 'isbn13': '9780316407076'}, {'isbn10': '0316290033', 'isbn13': '9780316290036'}, {'isbn10': '031629005X', 'isbn13': '9780316290050'}, {'isbn10': '1455585270', 'isbn13': '9781455585274'}]",2017-01-01
21,16TH SEDUCTION,James Patterson and Maxine Paetro,"Little, Brown","[{'isbn10': '0316274038', 'isbn13': '9780316274036'}, {'isbn10': '031655118X', 'isbn13': '9780316551182'}, {'isbn10': '031655345X', 'isbn13': '9780316553452'}, {'isbn10': '1455542660', 'isbn13': '9781455542666'}]",2018-02-18
22,21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,Spiegel & Grau,"[{'isbn10': '0525512179', 'isbn13': '9780525512172'}, {'isbn10': '0525512187', 'isbn13': '9780525512189'}, {'isbn10': '0525639853', 'isbn13': '9780525639855'}, {'isbn10': '0525512195', 'isbn13': '9780525512196'}]",2019-10-13
23,22 BRITANNIA ROAD,Amanda Hodgkinson,Pamela Dorman,"[{'isbn10': '0670022632', 'isbn13': '9780670022632'}, {'isbn10': '0143121049', 'isbn13': '9780143121046'}]",2011-05-15
24,2312,Kim Stanley Robinson,Orbit,"[{'isbn10': '0316098124', 'isbn13': '9780316098120'}]",2012-06-17
