,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
0,The Hate U Give,Angie Thomas,4.52,464,Balzer + Bray,0062498533,Young,0,11980,2017-02-28
1,The Hate U Give,Angie Thomas,4.52,464,Balzer + Bray,0062498533,Young,0,11980,2017-02-28
2,The Hate U Give,Angie Thomas,4.52,464,Balzer + Bray,0062498533,Young,0,11980,2017-02-28
3,Caraval,Stephanie Garber,3.95,407,Flatiron Books,1250095255,Fantasy,1,9756,2017-01-31
4,The Bear and the Nightingale,Katherine Arden,4.12,323,Del Rey Books,1101885939,Fantasy,1,7563,2017-01-10
5,We Were the Lucky Ones,Georgia Hunter,4.4,403,Viking,0399563083,Historical,0,1045,2017-02-14
6,Midnight at the Bright Ideas Bookstore,Matthew J. Sullivan,3.79,328,Scribner,1501116843,Mystery,0,535,2017-06-13
7,The Dry,Jane Harper,4.04,328,Flatiron Books(first published May 31st 2016),1250105609,Mystery,1,5392,2017-01-10
8,American War,Omar El Akkad,3.79,333,Knopf Publishing Group,0451493583,Add,0,598,2017-04-04
9,The Chilbury Ladies' Choir,Jennifer    Ryan,3.98,371,Crown Publishing Group,1101906758,comment,0,848,2017-02-14
10,My Absolute Darling,Gabriel Tallent,3.63,417,Riverhead Books(first published April 29th 2017),0735211175,Fiction,0,850,2017-08-29
11,The Leavers,Lisa Ko,3.87,338,Algonquin Books,1616206888,Fiction,0,711,2017-05-02
12,Stay with Me,Ayọ̀bámi Adébáyọ̀,4.03,260,Knopf Publishing Group(first published March 2nd 2017),0451494601,Fiction,0,1062,2017-08-22
13,All Our Wrong Todays,Elan Mastai,3.76,373,Dutton Books(first published 2016),1101985135,Science,0,664,2017-02-07
14,"Goodbye, Vitamin",Rachel Khong,3.73,208,Henry Holt and Co.(first published June 1st 2017),1250109167,Fiction,0,343,2017-07-11
15,The Animators,Kayla Rae Whitaker,3.97,369,Random House,0812989287,Fiction,0,354,2017-01-31
16,I Liked My Life,Abby Fabiaschi,4.16,272,St. Martin's Press,1250084873,Add,0,522,2017-01-31
17,What We Lose,Zinzi Clemmons,3.62,213,Viking,0735221715,Fiction,0,402,2017-07-11
18,Kings of the Wyld,Nicholas Eames,4.33,502,Orbit,0316362476,Fantasy,1,2724,2017-02-21
19,The Coppersmith Farmhouse,Devney Perry,3.92,376,EverAfter Romance(first published March 9th 2017),1635761212,Romance,1,3585,2017-03-28
20,The Idea of You,Robinne Lee,4.14,372,St. Martin's Griffin,1250125901,Romance,0,854,2017-06-13
21,The Caledonian Gambit,Dan Moren,3.86,293,Talos,1940456843,Science,1,218,2017-05-23
22,The Hate U Give,Angie Thomas,4.52,464,Balzer + Bray,0062498533,Young,0,11980,2017-02-28
23,The Hate U Give,Angie Thomas,4.52,464,Balzer + Bray,0062498533,Young,0,11980,2017-02-28
24,The Hate U Give,Angie Thomas,4.52,464,Balzer + Bray,0062498533,Young,0,11980,2017-02-28
25,Turtles All the Way Down,John Green,3.98,288,Dutton Books for Young Readers,0525555366,Young,0,267618,2017-10-10
26,One of Us Is Lying,Karen M. McManus,4.06,361,Delacorte Press,1524714682,Young,1,5021,2017-05-30
27,The Gentleman's Guide to Vice and Virtue,Mackenzi Lee,4.14,513,Katherine Tegen Books,0062382802,Historical,1,6018,2017-06-27
28,"Always and Forever, Lara Jean",Jenny Han,4.15,325,Simon  Schuster Books for Young Readers,1481430483,Young,1,32340,2017-05-02
29,Geekerella,Ashley Poston,4.01,320,Quirk Books,1594749477,Young,1,2346,2017-04-04
30,Eliza and Her Monsters,Francesca Zappia,4.25,385,Greenwillow Books,0062290134,Contemporary,0,3033,2017-05-30
31,Once and for All,Sarah Dessen,3.76,358,Viking Books for Young Readers,0425290336,Young,0,41340,2017-06-06
32,When Dimple Met Rishi,Sandhya Menon,3.72,380,Simon Pulse,1481478680,Young,1,2221,2017-05-30
33,By Your Side,Kasie West,3.85,346,HarperTeen,0062455869,Young,0,13090,2017-01-31
34,The Upside of Unrequited,Becky Albertalli,3.98,336,Balzer + Bray,0062348701,Young,0,13570,2017-04-11
35,History Is All You Left Me,Adam Silvera,4.07,292,Soho Teen,1616956925,Young,0,16068,2017-01-17
36,The Inexplicable Logic of My Life,Benjamin Alire Sáenz,4.15,452,Clarion Books,0544586506,Young,0,8147,2017-03-07
37,A List of Cages,Robin Roe,4.3,310,Disney-Hyperion,1484763807,Add,0,586,2017-01-10
38,They Both Die at the End,Adam Silvera,4.13,373,HarperTeen,0062457799,Young,0,16068,2017-09-05
39,Stranger Than Fanfiction,Chris Colfer,3.82,295,"Little, Brown Books for Young Readers",0316383449,Young,0,7038,2017-02-28
