,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
0,Go Set a Watchman,Harper Lee,3.31,278,HarperCollins,0062409859,Fiction,1,10648,2015-07-14
1,Go Set a Watchman,Harper Lee,3.31,278,HarperCollins,0062409859,Fiction,1,10648,2015-07-14
2,Go Set a Watchman,Harper Lee,3.31,278,HarperCollins,0062409859,Fiction,1,10648,2015-07-14
3,After You,Jojo Moyes,3.72,352,Pamela Dorman Books(first published September 23rd 2015),0525426590,Fiction,0,42307,2015-09-29
4,The Royal We,Heather Cocks,3.8,454,Grand Central Publishing,1455557102,Romance,1,728,2015-04-07
5,A Little Life,Hanya Yanagihara,4.3,720,Doubleday,0385539258,Fiction,0,5787,2015-03-10
6,My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,4.05,372,Atria Books(first published September 4th 2013),1501115065,Fiction,0,23312,2015-06-16
7,Fates and Furies,Lauren Groff,3.57,390,Riverhead Books,1594634475,Fiction,0,2968,2015-09-15
8,Inside the O'Briens,Lisa Genova,3.99,343,Gallery Books,147671777X,comment,0,7874,2015-04-07
9,Girl at War,Sara Nović,4.0,320,Random House,0812996348,Historical,0,556,2015-05-12
10,Our Souls at Night,Kent Haruf,3.94,179,Knopf,1101875895,Fiction,0,1276,2015-05-26
11,Trail of Broken Wings,Sejal Badani,4.0,378,Lake Union Publishing,1477822089,Fiction,0,717,2015-05-01
12,The Sound of Glass,Karen   White,4.0,432,NAL(first published March 12th 2015),0451470893,Fiction,0,4348,2015-05-12
13,Kitchens of the Great Midwest,J. Ryan Stradal,3.78,310,Pamela Dorman Books/Viking,052542914X,Fiction,0,840,2015-07-28
14,First Frost,Sarah Addison Allen,3.96,296,St. Martin's Press,1250019834,comments,1,12791,2015-01-20
15,The Secret Wisdom of the Earth,Christopher Scotton,4.09,466,Grand Central Publishing,1455551929,Fiction,0,350,2015-01-06
16,Did You Ever Have a Family,Bill Clegg,3.8,293,Scout Press,1476798176,Fiction,0,366,2015-09-01
17,When the Moon is Low,Nadia Hashimi,4.1,384,William Morrow(first published June 30th 2015),0062369571,Fiction,0,1736,2015-07-21
18,A Spool of Blue Thread,Anne Tyler,3.41,358,Knopf,1101874279,comments,0,3990,2015-02-10
19,The Perfect Son,Barbara Claypole White,3.97,396,Lake Union Publishing,1477830049,Fiction,0,832,2015-07-01
20,Signs Preceding the End of the World,Yuri Herrera,3.92,114,And Other Stories(first published 2009),1908276428,Fiction,0,289,2015-03-10
21,Purity,Jonathan Franzen,3.61,563,"Farrar, Straus and Giroux",0374239215,Fiction,0,5607,2015-09-01
22,The Girl on the Train,Paula Hawkins,3.91,336,Riverhead Books,1594633665,comments,0,22987,2015-01-13
23,The Girl on the Train,Paula Hawkins,3.91,336,Riverhead Books,1594633665,comments,0,22987,2015-01-13
24,The Girl on the Train,Paula Hawkins,3.91,336,Riverhead Books,1594633665,comments,0,22987,2015-01-13
25,Finders Keepers,Stephen King,4.04,434,Scribner,1501100076,Fiction,1,673352,2015-06-02
26,Career of Evil,Robert Galbraith,4.21,497,Mulholland Books,0316349933,Mystery,0,21331,2015-10-20
27,Obsession in Death,J.D. Robb,4.35,404,Berkley(first published January 12th 2015),0399170871,Mystery,1,16318,2015-02-10
28,Pretty Girls,Karin Slaughter,3.99,396,William Morrow(first published July 2nd 2015),0062429051,Thriller,0,24616,2015-09-29
29,Marrow,Tarryn Fisher,3.99,278,,English,Thriller,0,16176,2015-04-16
30,The Nature of the Beast,Louise Penny,4.22,376,Minotaur Books,1250022088,Mystery,1,10887,2015-08-25
31,The English Spy,Daniel Silva,4.18,484,Harper,0062320130,Thriller,1,5504,2015-06-30
32,Die Again,Tess Gerritsen,4.18,330,Ballantine Books,0345543858,Mystery,1,13449,2014-12-30
33,The Stranger,Harlan Coben,3.87,386,Dutton,0525953507,Add,0,17541,2015-03-24
34,Mr. Kiss and Tell,Rob Thomas,4.0,330,Vintage Books,080417072X,Mystery,1,1077,2015-01-20
35,Memory Man,David Baldacci,4.07,416,Grand Central Publishing,1455559822,Mystery,1,108252,2015-04-21
36,Lamentation,C.J. Sansom,4.4,656,Mulholland Books(first published October 23rd 2014),0316254967,Historical,1,2700,2015-02-24
37,The Girl in the Spider's Web,David Lagercrantz,3.76,400,Knopf(first published August 27th 2015),0385354282,comment,1,1973,2015-09-01
38,The Escape,David Baldacci,4.16,470,Grand Central Publishing(first published September 16th 2014),1455521191,Thriller,1,108252,2014-11-18
39,The Kind Worth Killing,Peter  Swanson,4.03,311,William Morrow,0062267523,Thriller,0,3608,2015-02-03
40,Gathering Prey,John Sandford,4.2,407,G.P. Putnam's Sons,0399168796,Mystery,1,6067,2015-04-28
41,The Cartel,Don Winslow,4.32,616,Knopf(first published May 22nd 2015),1101874996,Fiction,1,3185,2015-06-23
42,As Chimney Sweepers Come to Dust,Alan Bradley,3.95,392,Delacorte Press,0345539931,Mystery,1,6978,2015-01-06
43,Luckiest Girl Alive,Jessica Knoll,3.49,352,Simon  Schuster,1476789630,comments,0,2297,2015-05-12
44,The Nightingale,Kristin Hannah,4.57,440,St. Martin's Press,0312577222,Historical,0,115994,2015-02-03
45,The Nightingale,Kristin Hannah,4.57,440,St. Martin's Press,0312577222,Historical,0,115994,2015-02-03
46,The Nightingale,Kristin Hannah,4.57,440,St. Martin's Press,0312577222,Historical,0,115994,2015-02-03
47,A God in Ruins,Kate Atkinson,3.94,468,"Little, Brown and Company(first published May 1st 2015)",0316176532,Fiction,1,7514,2015-05-05
48,At the Water's Edge,Sara Gruen,3.66,348,Spiegel & Grau,0385523238,Add,0,5340,2015-03-31
49,Rebel Queen,Michelle Moran,4.04,355,Atria Books,1476716358,Historical,0,4250,2015-03-03
50,In the Unlikely Event,Judy Blume,3.52,402,Knopf,1101875046,Fiction,0,8049,2015-06-02
51,The Boston Girl,Anita Diamant,3.81,320,Scribner,1439199353,Add,0,3120,2014-12-09
52,Secrets of a Charmed Life,Susan Meissner,4.19,386,NAL,0451419928,Historical,0,3251,2015-02-03
53,The Marriage of Opposites,Alice Hoffman,3.88,371,Simon  Schuster(first published August 1st 2015),1451693591,Historical,0,11547,2015-08-04
54,Circling the Sun,Paula McLain,3.93,366,Ballantine Books(first published July 7th 2015),0345534182,Historical,0,3300,2015-07-28
55,A Desperate Fortune,Susanna Kearsley,4.0,528,Sourcebooks Landmark,1492602027,Historical,0,6387,2015-04-07
56,The Architect's Apprentice,Elif Shafak,3.98,432,Viking(first published December 13th 2013),052542797X,Historical,0,15130,2015-03-31
57,The Taming of the Queen,Philippa Gregory,3.93,450,Touchstone(first published August 2015),1476758794,comments,1,25877,2015-08-25
58,The Lake House,Kate Morton,4.05,492,Atria Books(first published October 2015),1451649320,comments,0,16072,2015-10-20
59,Letters to the Lost,Iona Grey,4.16,384,Thomas Dunne Books(first published April 2015),1250066778,Historical,0,410,2015-05-26
60,The Bookseller,Cynthia Swanson,3.67,339,Harper,0062333003,Fiction,0,635,2015-03-03
61,Epitaph,Mary Doria Russell,4.11,581,Ecco,0062198769,Historical,1,2160,2015-03-03
62,The Gilded Hour,Sara Donati,4.04,741,Berkley,0425271811,Historical,1,2262,2015-09-01
63,Mademoiselle Chanel,C.W. Gortner,4.07,406,William Morrow,0062356402,Historical,0,1702,2015-03-17
64,Girl Waits with Gun,Amy  Stewart,3.76,408,Houghton Mifflin Harcourt,0544409914,Historical,1,1963,2015-09-01
65,Flood of Fire,Amitav Ghosh,4.11,624,"Farrar, Straus and Giroux(first published 2015)",0374174245,Historical,1,2376,2015-08-04
66,Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,3.93,310,William Morrow,0062330268,Fantasy,1,196561,2015-02-03
67,Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,3.93,310,William Morrow,0062330268,Fantasy,1,196561,2015-02-03
68,Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,3.93,310,William Morrow,0062330268,Fantasy,1,196561,2015-02-03
69,A Darker Shade of Magic,V.E. Schwab,4.09,400,Tor Books,0765376458,comments,1,22622,2015-02-24
70,Shadows of Self,Brandon Sanderson,4.3,383,Tor Books,0765378558,Fantasy,1,119645,2015-10-06
71,Magic Shifts,Ilona Andrews,4.46,342,Ace,042527067X,Fantasy,1,22829,2015-08-04
72,The Aeronaut's Windlass,Jim Butcher,4.18,630,Roc,0451466802,Fantasy,1,38455,2015-09-29
73,Fool's Quest,Robin Hobb,4.52,768,Del Rey,0553392921,Fantasy,1,77136,2015-08-11
74,Vision in Silver,Anne Bishop,4.27,400,Roc,045146527X,Fantasy,1,8194,2015-03-03
75,Dead Heat,Patricia Briggs,4.3,324,Ace,0425256758,Fantasy,1,23132,2015-03-03
76,Burned,Karen Marie Moning,4.14,475,Delacorte Press,0385344414,comment,1,25436,2015-01-20
77,The Fifth Season,N.K. Jemisin,4.31,468,Orbit,English,Fantasy,0,20672,2015-08-04
78,The Invasion of the Tearling,Erika Johansen,4.12,515,Harper,0062290398,Fantasy,1,4056,2015-06-09
79,The Liar's Key,Mark  Lawrence,4.26,479,Ace,0425268802,Fantasy,1,44517,2015-06-02
80,Go Set a Watchman,Harper Lee,3.31,278,HarperCollins,0062409859,Fiction,1,10648,2015-07-14
81,Go Set a Watchman,Harper Lee,3.31,278,HarperCollins,0062409859,Fiction,1,10648,2015-07-14
82,Go Set a Watchman,Harper Lee,3.31,278,HarperCollins,0062409859,Fiction,1,10648,2015-07-14
83,After You,Jojo Moyes,3.72,352,Pamela Dorman Books(first published September 23rd 2015),0525426590,Fiction,0,42307,2015-09-29
84,The Royal We,Heather Cocks,3.8,454,Grand Central Publishing,1455557102,Romance,1,728,2015-04-07
85,A Little Life,Hanya Yanagihara,4.3,720,Doubleday,0385539258,Fiction,0,5787,2015-03-10
86,My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,4.05,372,Atria Books(first published September 4th 2013),1501115065,Fiction,0,23312,2015-06-16
87,Fates and Furies,Lauren Groff,3.57,390,Riverhead Books,1594634475,Fiction,0,2968,2015-09-15
88,Inside the O'Briens,Lisa Genova,3.99,343,Gallery Books,147671777X,comment,0,7874,2015-04-07
89,Girl at War,Sara Nović,4.0,320,Random House,0812996348,Historical,0,556,2015-05-12
90,Our Souls at Night,Kent Haruf,3.94,179,Knopf,1101875895,Fiction,0,1276,2015-05-26
91,Trail of Broken Wings,Sejal Badani,4.0,378,Lake Union Publishing,1477822089,Fiction,0,717,2015-05-01
92,The Sound of Glass,Karen   White,4.0,432,NAL(first published March 12th 2015),0451470893,Fiction,0,4348,2015-05-12
93,Kitchens of the Great Midwest,J. Ryan Stradal,3.78,310,Pamela Dorman Books/Viking,052542914X,Fiction,0,840,2015-07-28
94,First Frost,Sarah Addison Allen,3.96,296,St. Martin's Press,1250019834,comments,1,12791,2015-01-20
95,The Secret Wisdom of the Earth,Christopher Scotton,4.09,466,Grand Central Publishing,1455551929,Fiction,0,350,2015-01-06
96,Did You Ever Have a Family,Bill Clegg,3.8,293,Scout Press,1476798176,Fiction,0,366,2015-09-01
97,When the Moon is Low,Nadia Hashimi,4.1,384,William Morrow(first published June 30th 2015),0062369571,Fiction,0,1736,2015-07-21
