,ISBN,author,author_followers,genre,pages,publish_date,publisher,rating,series,title,NYT_Bestseller,celeb_bookclub
0,1250170974,Tomi Adeyemi,9.333796175903101,Fantasy,544.0,2018-03-06,Algonquin Books,4.16,1,Children of Blood and Bone,1,0
3,0062678418,A.J. Finn,8.288785810426928,Mystery,429.0,2018-01-02,Algonquin Books,3.93,0,The Woman in the Window,1,0
5,0451490800,Helen Hoang,9.076123029856374,Romance,336.0,2018-06-05,Algonquin Books,3.9,1,The Kiss Quotient,0,0
6,1250112680,Alexandra Christo,7.752335163302292,Fantasy,344.0,2018-03-06,Algonquin Books,3.96,0,To Kill a Kingdom,0,0
7,0525520376,Tommy Orange,7.215975002651466,Fiction,294.0,2018-06-05,Algonquin Books,3.98,0,There There,1,0
8,0062662562,R.F. Kuang,7.987864096085687,Fantasy,530.0,2018-05-01,Algonquin Books,3.99,0,The Poppy War,0,0
9,031646399X,Emily X.R. Pan,6.784457062637643,Young Adult,462.0,2018-03-20,Algonquin Books,4.13,0,The Astonishing Color of After,1,0
10,1524797189,Catherine Steadman,7.1569563646156364,Thriller,342.0,2018-06-05,Algonquin Books,3.6,0,Something in the Water,1,1
11,1524760986,C.J. Tudor,7.744136627627991,Mystery,280.0,2018-01-09,Algonquin Books,3.7,0,The Chalk Man,0,0
12,1524743445,Hank Green,8.400884069015854,Fiction,343.0,2018-09-25,Algonquin Books,4.03,1,An Absolutely Remarkable Thing,1,0
14,1501169033,Zeyn Joukhadar,5.948034989180646,Historical,361.0,2018-05-01,Algonquin Books,3.89,0,The Map of Salt and Stars,0,0
15,1492657964,Stuart Turton,7.729295674310482,Mystery,432.0,2018-09-18,Algonquin Books,3.92,0,The 7½ Deaths of Evelyn Hardcastle,0,0
17,1250074258,Shobha Rao,6.035481432524756,Fiction,309.0,2018-03-06,Algonquin Books,3.78,0,Girls Burn Brighter,0,0
18,0735221960,Mira T. Lee,5.869296913133774,Fiction,368.0,2018-01-16,Algonquin Books,3.93,0,Everything Here Is Beautiful,0,0
19,0385542720,Ingrid Rojas Contreras,6.297109319933935,Fiction,304.0,2018-07-31,Algonquin Books,3.94,0,Fruit of the Drunken Tree,0,0
20,1250162688,C.L. Polk,5.799092654460526,Fantasy,318.0,2018-06-19,Algonquin Books,3.89,1,Witchmark,0,0
21,1501180819,Jack Carr,6.159095388491933,Fiction,408.0,2018-03-06,Algonquin Books,4.18,1,The Terminal List,0,0
22,0062643800,Becky Albertalli,9.515616752828915,Young Adult,352.0,2018-04-24,Houghton Mifflin Harcourt,3.91,1,Leah on the Offbeat,0,0
25,1250105714,Courtney Summers,8.52456594574565,Young Adult,308.0,2018-09-04,Houghton Mifflin Harcourt,4.18,0,Sadie,1,0
26,0062795252,Becky Albertalli,9.515616752828915,Young Adult,437.0,2018-10-09,Houghton Mifflin Harcourt,3.96,0,What If It's Us,1,0
27,1503902781,Jamie McGuire,10.548363184422374,Romance,444.0,2018-05-29,Houghton Mifflin Harcourt,3.94,0,All the Little Lights,0,0
28,0062795325,Mackenzi Lee,8.70251025718999,Historical,450.0,2018-10-02,Houghton Mifflin Harcourt,4.13,1,The Lady's Guide to Petticoats and Piracy,1,0
30,1481404571,Morgan Matson,9.38353709043758,Contemporary,417.0,2018-06-05,Houghton Mifflin Harcourt,3.8,0,Save the Date,1,0
31,English,Maureen Johnson,9.190953658175992,Mystery,416.0,2018-01-16,Houghton Mifflin Harcourt,4.04,0,Truly Devious,0,0
32,0062418386,Julie   Murphy,8.081475040137052,Young Adult,428.0,2018-05-08,Houghton Mifflin Harcourt,4.03,1,Puddin',0,0
33,1534408967,Mary H.K. Choi,6.726233402358747,Young Adult,394.0,2018-03-27,Houghton Mifflin Harcourt,3.74,0,Emergency Contact,1,0
34,006267577X,Kasie West,9.479603858903946,Contemporary,374.0,2017-12-26,Houghton Mifflin Harcourt,3.8,1,"Love, Life, and the List",0,0
35,1250136121,Claire Kann,5.3981627015177525,Young Adult,288.0,2018-01-23,Houghton Mifflin Harcourt,3.8,0,Let's Talk About Love,0,0
36,148147880X,Jenn Bennett,7.953669778649798,Contemporary,421.0,2018-04-03,Houghton Mifflin Harcourt,4.04,0,Starry Eyes,0,0
37,1524718327,Kara Thomas,6.844815479208263,Mystery,384.0,2018-07-31,Houghton Mifflin Harcourt,3.81,0,The Cheerleaders,0,0
38,0062398970,Brittany Cavallaro,7.651595573857601,Mystery,349.0,2018-03-06,Houghton Mifflin Harcourt,4.03,1,The Case for Jamie,0,0
39,1616958472,Samira Ahmed,6.569481420414296,Young Adult,281.0,2018-01-16,Houghton Mifflin Harcourt,3.82,0,"Love, Hate & Other Filters",1,0
40,0062866567,Tahereh Mafi,10.178502231260227,Young Adult,310.0,2018-10-16,Houghton Mifflin Harcourt,4.26,0,A Very Large Expanse of Sea,1,0
41,0316440779,Jay Coles,5.68697535633982,Young Adult,299.0,2018-03-20,Houghton Mifflin Harcourt,3.87,0,Tyler Johnson Was Here,0,0
42,B01NC01XAZ,Alice Oseman,8.668368019213355,Contemporary,400.0,2018-05-03,Houghton Mifflin Harcourt,4.12,0,I Was Born for This,0,0
43,1942444621,Sarina Bowen,9.081142433504501,Young Adult,320.0,2018-06-12,Houghton Mifflin Harcourt,4.08,0,The Accidentals,0,0
44,1619636107,Sarah J. Maas,11.675180359613869,Fantasy,984.0,2018-10-23,Nan A. Talese,4.61,1,Kingdom of Ash,0,0
49,0062422995,Victoria Aveyard,10.648325448501428,Fantasy,662.0,2018-05-15,Nan A. Talese,3.88,1,War Storm,0,0
50,168119631X,Sarah J. Maas,11.675180359613869,Fantasy,229.0,2018-05-01,Nan A. Talese,3.9,1,A Court of Frost and Starlight,0,0
51,055349919X,Amie Kaufman,9.0831885863157,Science,615.0,2018-03-13,Nan A. Talese,4.55,1,Obsidio,0,0
52,1442472456,Neal Shusterman,9.635085094816304,Young Adult,504.0,2018-01-09,Nan A. Talese,4.52,1,Thunderhead,0,0
53,0062676369,Tahereh Mafi,10.178502231260227,Young Adult,435.0,2018-03-06,Nan A. Talese,4.24,1,Restore Me,0,0
54,0448494507,Sabaa Tahir,9.934840860194123,Fantasy,464.0,2018-06-12,Nan A. Talese,4.23,1,A Reaper at the Gates,0,0
55,0399548017,Marie Lu,11.552847854967647,Young Adult,352.0,2018-09-18,Nan A. Talese,3.99,1,Wildcard,0,0
56,1484728491,Dhonielle Clayton,7.170888478512505,Fantasy,440.0,2018-02-06,Nan A. Talese,3.85,1,The Belles,1,0
57,0062570609,Justina Ireland,7.00397413672268,Young Adult,455.0,2018-04-03,Nan A. Talese,4.14,1,Dread Nation,1,0
58,0062426958,Veronica Roth,12.969482557630068,Fantasy,443.0,2018-04-10,Nan A. Talese,3.93,1,The Fates Divide,1,0
60,0316341711,Laini Taylor,10.353830419422378,Fantasy,522.0,2018-10-02,Nan A. Talese,4.48,1,Muse of Nightmares,1,0
61,0399555773,Brandon Sanderson,11.692175643239697,Science,510.0,2018-11-06,Nan A. Talese,4.55,1,Skyward,1,0
62,1250147905,Melissa Albert,7.683403681053826,Fantasy,359.0,2018-01-30,Nan A. Talese,3.59,1,The Hazel Wood,1,0
63,125009531X,Stephanie Garber,9.18563775933581,Fantasy,451.0,2018-05-29,Nan A. Talese,4.25,1,Legendary,0,0
64,1524713929,Jay Kristoff,9.417923485172336,Science,402.0,2018-05-29,Nan A. Talese,4.04,1,LIFEL1K3,0,0
65,1250183529,Susan Dennard,8.883501584323207,Fantasy,240.0,2018-02-13,Nan A. Talese,4.03,1,Sightwitch,0,0
66,1484746430,Rick Riordan,12.540220754887295,Fantasy,431.0,2018-05-01,Broadway Books,4.37,1,The Burning Maze,0,0
69,1338111035,Victoria Schwab,10.810959513102064,Fantasy,272.0,2018-08-28,Broadway Books,3.94,1,City of Ghosts,0,0
70,0316391824,Neil Patrick Harris,6.81783057145415,Childrens,256.0,2017-11-21,Broadway Books,3.93,1,The Magic Misfits,1,0
71,1368012353,Roshani Chokshi,8.589885876809678,Add,355.0,2018-03-27,Broadway Books,4.08,1,Aru Shah and the End of Time,1,0
72,0399544682,Aisha Saeed,6.419994928147142,Childrens,240.0,2018-05-08,Broadway Books,4.22,0,Amal Unbound,1,0
73,0316262285,Jewell Parker Rhodes,6.476972362889683,Childrens,224.0,2018-04-17,Broadway Books,4.35,0,Ghost Boys,1,0
74,0385755678,Jeanne Birdsall,6.79794041297493,Childrens,256.0,2018-05-15,Broadway Books,4.09,1,The Penderwicks at Last,0,0
75,1368005845,Robert  Beatty,7.243512974665482,Fantasy,384.0,2018-07-10,Broadway Books,4.22,1,Willa of the Wood,1,0
76,1524767573,Stacy McAnulty,5.429345628954441,Childrens,294.0,2018-05-01,Broadway Books,4.28,0,The Miscalculations of Lightning Girl,0,0
77,1250166624,Wendy Mass,7.994294986415977,Fantasy,201.0,2018-05-01,Broadway Books,4.07,0,Bob,0,0
78,1338157795,Kelly Yang,5.43372200355424,Childrens,298.0,2018-05-29,Broadway Books,4.39,0,Front Desk,0,0
79,1481450212,Jason Reynolds,8.264363329731667,Childrens,159.0,2018-04-10,Broadway Books,4.09,1,Sunny,0,0
80,0062414186,Erin Entrada Kelly,6.423246963533519,Childrens,288.0,2018-04-10,Broadway Books,3.78,0,You Go First,1,0
81,0735228515,Veera Hiranandani,5.19295685089021,Historical,272.0,2018-03-06,Broadway Books,4.2,0,The Night Diary,0,0
82,1338185705,Sayantani DasGupta,5.0689042022202315,Fantasy,351.0,2018-02-27,Broadway Books,3.86,1,The Serpent's Secret,0,0
83,0763694630,Kate DiCamillo,8.726967774991493,Childrens,240.0,2018-10-02,Broadway Books,4.31,1,Louisiana's Way Home,1,0
84,0545522404,Holly Black,10.360025930828293,Fantasy,239.0,2018-09-11,Broadway Books,4.03,0,The Golden Tower,0,0
85,1629724866,Brandon Mull,8.9005490139363,Fantasy,416.0,2018-10-23,Broadway Books,4.42,1,Wrath of the Dragon King,0,0
86,052551502X,Katherine Arden,8.93102321585603,Childrens,218.0,2018-09-25,Broadway Books,4.02,1,Small Spaces,0,0
87,1534414460,Amy Makechnie,3.970291913552122,Childrens,336.0,2018-06-12,Broadway Books,4.09,0,The Unforgettable Guinevere St. Clair,0,0
88,0062667122,Grace Byers,3.970291913552122,Childrens,32.0,2018-03-06,CreateSpace Independent Publishing Platform,4.23,0,I Am Enough,1,0
91,145217380X,Jill Twiss,3.8066624897703196,Childrens,34.0,2018-03-18,CreateSpace Independent Publishing Platform,4.72,0,A Day in the Life of Marlon Bundo,1,0
92,0316475114,Vashti Harrison,4.454347296253507,Nonfiction,88.0,2017-12-05,CreateSpace Independent Publishing Platform,4.58,0,Little Leaders: Bold Women in Black History,0,0
93,1368003559,Ryan T.  Higgins,5.683579767338681,Childrens,40.0,2018-06-19,CreateSpace Independent Publishing Platform,4.53,0,We Don't Eat Our Classmates,1,0
94,0735262675,Marianna Coppo,2.5649493574615367,Childrens,42.0,2018-02-06,CreateSpace Independent Publishing Platform,3.96,0,Petra,0,0
95,073522935X,Cori Doerrfeld,3.4339872044851463,Childrens,32.0,2018-02-20,CreateSpace Independent Publishing Platform,4.48,0,The Rabbit Listened,0,0
96,0316362387,Sophie Blackall,4.795790545596741,Childrens,44.0,2018-04-10,CreateSpace Independent Publishing Platform,4.37,0,Hello Lighthouse,1,0
97,148147037X,Terry Fan,4.219507705176107,Childrens,48.0,2018-05-15,CreateSpace Independent Publishing Platform,4.26,0,Ocean Meets Sky,0,0
98,1524740918,Matt de la Pena,7.0431599159883405,Childrens,40.0,2018-01-09,CreateSpace Independent Publishing Platform,4.26,0,Love,1,0
99,0763690457,Jessica    Love,4.143134726391533,Childrens,80.0,2018-05-22,CreateSpace Independent Publishing Platform,4.48,0,Julián Is a Mermaid,0,0
100,0545865026,Peter H. Reynolds,6.3080984415095305,Childrens,40.0,2018-01-30,CreateSpace Independent Publishing Platform,4.29,0,The Word Collector,0,0
101,1338180614,Brian Selznick,7.976595409316577,Childrens,192.0,2018-02-27,CreateSpace Independent Publishing Platform,3.92,0,"Baby Monkey, Private Eye",0,0
102,1484767608,Minh Lê,4.0943445622221,Childrens,34.0,2018-06-05,CreateSpace Independent Publishing Platform,4.37,0,Drawn Together,0,0
103,0735229864,Junot Díaz,8.668711839055147,Childrens,48.0,2018-03-13,CreateSpace Independent Publishing Platform,4.45,0,Islandborn,1,0
105,0399246533,Jacqueline Woodson,8.490438454107418,Add,32.0,2018-08-28,CreateSpace Independent Publishing Platform,4.52,0,The Day You Begin,1,0
108,1786894327,Matt Haig,8.85978949474541,Poetry,119.0,2018-10-18,CreateSpace Independent Publishing Platform,4.31,1,The Truth Pixie,0,0
109,0500651469,Jen Campbell,9.204523486654617,Childrens,32.0,2018-09-20,CreateSpace Independent Publishing Platform,4.12,1,Franklin and Luna Go to the Moon,0,0
110,0399562451,Jojo Moyes,10.652636923211357,Fiction,390.0,2018-01-30,Tor Books,4.15,1,Still Me,1,0
113,1616201347,Tayari Jones,9.105424202026622,Fiction,308.0,2018-02-06,Tor Books,3.97,0,An American Marriage,1,1
114,1501160796,Fredrik Backman,10.056680631152522,Fiction,448.0,2018-06-05,Tor Books,4.34,1,Us Against You,1,0
115,1250069823,Liane Moriarty,10.602741051527834,Fiction,453.0,2018-11-06,Tor Books,3.5,0,Nine Perfect Strangers,1,0
117,052552004X,Haruki Murakami,11.196144084693172,Fiction,688.0,2018-10-09,Tor Books,3.88,1,Killing Commendatore,0,0
120,0399178929,Emily Giffin,9.690912952571152,Fiction,334.0,2018-06-26,Tor Books,3.87,0,All We Ever Wanted,1,0
121,147671780X,Lisa Genova,8.971321471503682,Add,307.0,2018-03-20,Tor Books,4.1,0,Every Note Played,0,0
122,1594488401,Meg Wolitzer,7.6787889981991535,Fiction,454.0,2018-04-03,Tor Books,3.6,0,The Female Persuasion,0,0
124,0345544986,Jodi Picoult,10.840697934662787,Fiction,352.0,2018-10-02,Tor Books,3.68,0,A Spark of Light,1,0
125,1787330419,Ottessa Moshfegh,7.937374696163295,Fiction,288.0,2018-07-12,Tor Books,3.67,0,My Year of Rest and Relaxation,0,0
127,039363552X,Richard Powers,7.232733136177615,Fiction,502.0,2018-04-03,Tor Books,4.19,0,The Overstory,1,0
128,0399592865,Curtis Sittenfeld,8.244859395911256,Short,226.0,2018-04-24,Tor Books,3.72,0,"You Think It, I'll Say It",0,0
129,1250149061,Katherine Center,8.068089626278244,Fiction,302.0,2018-05-15,Tor Books,4.07,0,How to Walk Away,1,0
131,1476756554,Rachel Kushner,6.892641641172089,Fiction,338.0,2018-05-01,Tor Books,3.49,0,The Mars Room,1,0
132,1501180983,Stephen King,13.419999741097476,Horror,561.0,2018-05-22,Kensington Publishing Corporation,4.0,0,The Outsider,1,0
136,0316422738,Robert Galbraith,9.967916692691817,Mystery,650.0,2018-09-18,Kensington Publishing Corporation,4.25,0,Lethal White,1,0
137,1250130921,Greer Hendricks,8.265907334155747,Add,346.0,2018-01-09,Kensington Publishing Corporation,3.83,0,The Wife Between Us,1,0
138,1501154648,Lisa Jewell,9.334414687078109,Mystery,359.0,2018-04-17,Kensington Publishing Corporation,4.04,0,Then She Was Gone,1,0
139,0316412694,Bill Clinton,6.405228458030842,Fiction,513.0,2018-06-04,Kensington Publishing Corporation,3.83,0,The President Is Missing,0,0
140,1501156217,Ruth Ware,9.511925349596956,Mystery,368.0,2018-05-29,Kensington Publishing Corporation,3.81,0,The Death of Mrs. Westaway,1,0
141,0735224625,Tana French,9.675582684120208,Mystery,509.0,2018-10-09,Kensington Publishing Corporation,3.54,0,The Witch Elm,1,0
142,1250105633,Jane Harper,8.592671652592143,Mystery,326.0,2018-02-06,Kensington Publishing Corporation,3.83,1,Force of Nature,0,0
143,1250144841,Alice Feeney,7.641084249174914,Thriller,262.0,2018-03-13,Kensington Publishing Corporation,3.83,0,Sometimes I Lie,0,0
147,1616957786,Sujata Massey,6.885509670034818,Mystery,385.0,2018-01-09,Kensington Publishing Corporation,3.92,1,The Widows of Malabar Hill,0,0
148,1250161568,J.D. Robb,9.699840209027421,Mystery,385.0,2018-09-04,Kensington Publishing Corporation,4.35,1,Leverage in Death,1,0
149,1250151333,B.A. Paris,9.016998311898762,Mystery,291.0,2018-06-19,Kensington Publishing Corporation,3.47,0,Bring Me Back,1,0
150,0451476204,Simone St. James,7.937017489515454,Mystery,336.0,2018-03-20,Kensington Publishing Corporation,4.04,0,The Broken Girls,0,0
151,1524743070,Riley Sager,8.45553053102413,Mystery,371.0,2018-07-03,Kensington Publishing Corporation,4.06,0,The Last Time I Lied,1,0
152,1503900894,Victoria Helen Stone,6.577861357721047,Thriller,268.0,2018-08-01,Kensington Publishing Corporation,4.04,1,Jane Doe,0,0
153,0316509515,Joe Ide,6.472346294500901,Mystery,352.0,2018-10-09,Kensington Publishing Corporation,3.9,1,Wrecked,0,0
154,0312577230,Kristin Hannah,11.661285123440093,Fiction,440.0,2018-02-06,Flatiron Books,4.32,0,The Great Alone,1,0
158,0735213186,Chloe  Benjamin,7.459338895220296,Fiction,346.0,2018-01-09,Flatiron Books,3.72,0,The Immortalists,1,0
159,1451649398,Kate Morton,9.68477168454907,Historical,485.0,2018-10-09,Flatiron Books,3.73,0,The Clockmaker's Daughter,1,0
160,0735219095,Delia Owens,8.449556542700426,Fiction,370.0,2018-08-14,Flatiron Books,4.5,0,Where the Crawdads Sing,1,1
161,0399586687,Chanel Cleeton,7.890582534656536,Historical,361.0,2018-02-06,Flatiron Books,3.95,0,Next Year in Havana,0,1
163,031617663X,Kate Atkinson,8.924523226133914,Historical,343.0,2018-09-25,Flatiron Books,3.5,0,Transcription,1,0
164,0525521194,Michael Ondaatje,7.901377353792616,Historical,285.0,2018-05-08,Flatiron Books,3.64,0,Warlight,1,0
165,0062660349,Beatriz Williams,8.386856689688234,Historical,371.0,2018-07-10,Flatiron Books,3.72,0,The Summer Wives,0,0
166,0062819828,Stephanie Dray,7.6577552711348655,Historical,641.0,2018-04-03,Flatiron Books,4.28,0,My Dear Hamilton,0,0
167,0062684566,Barbara Kingsolver,9.31415970061518,Fiction,464.0,2018-10-16,Flatiron Books,3.61,0,Unsheltered,1,0
168,1503951820,Rhys Bowen,8.478244441277663,Historical,336.0,2018-02-20,Flatiron Books,3.96,0,The Tuscan Child,0,0
170,1101967382,Paula McLain,8.101677747454572,Historical,389.0,2018-05-01,Flatiron Books,3.84,0,Love and Ruin,1,0
171,1503954056,Eoin Dempsey,6.434546518787453,Historical,270.0,2018-03-01,Flatiron Books,4.06,0,"White Rose, Black Forest",0,0
172,0062563173,Bernard Cornwell,9.329455852866344,Historical,352.0,2018-10-02,Flatiron Books,4.33,0,War of the Wolf,1,0
173,1492665274,Susanna Kearsley,8.76201995356159,Historical,448.0,2018-08-07,Flatiron Books,3.93,0,Bellewether,0,0
174,1503949001,Robert Dugoni,8.769196271411001,Fiction,448.0,2018-04-24,Flatiron Books,4.33,0,The Extraordinary Life of Sam Hell,0,0
175,0735223521,Rebecca Makkai,7.396335293800808,Fiction,421.0,2018-06-19,Flatiron Books,4.2,0,The Great Believers,0,0
176,0316556343,Madeline Miller,9.54559758504085,Add,393.0,2018-04-10,Multnomah Books,4.28,0,Circe,1,0
179,1250165342,Guillermo del Toro,8.023879992734878,Fantasy,315.0,2018-03-06,Multnomah Books,3.92,0,The Shape of Water,1,0
180,0399180982,Naomi Novik,9.596418766284158,Fantasy,480.0,2018-07-09,Multnomah Books,4.25,0,Spinning Silver,1,0
181,1250122953,Nora Roberts,10.494851145928589,Fantasy,419.0,2017-12-05,Multnomah Books,4.04,1,Year One,1,0
182,1641970405,Ilona Andrews,10.035786936549613,Fantasy,380.0,2018-06-26,Multnomah Books,4.41,1,Iron and Magic,0,0
184,0765393581,Seanan McGuire,9.211539652551664,Fantasy,174.0,2018-01-09,Multnomah Books,3.96,1,Beneath the Sugar Sky,0,0
185,0399593667,Karen Marie Moning,10.143920772387299,Fantasy,479.0,2018-03-06,Multnomah Books,4.33,1,High Voltage,0,0
186,0425281310,Patricia Briggs,10.04897221927811,Fantasy,308.0,2018-03-06,Multnomah Books,4.29,1,Burn Bright,1,0
187,1101988886,Mark  Lawrence,10.703581490007771,Fantasy,415.0,2018-04-03,Multnomah Books,4.43,1,Grey Sister,0,0
188,0062669605,Peng Shepherd,6.315358001522335,Fantasy,485.0,2018-06-05,Multnomah Books,3.7,0,The Book of M,0,0
189,1101885963,Katherine Arden,8.93102321585603,Fantasy,363.0,2017-12-05,Multnomah Books,4.38,1,The Girl in the Tower,0,0
190,1101965398,Michael J. Sullivan,11.134851763453977,Fantasy,420.0,2018-07-03,Multnomah Books,4.45,0,Age of War,0,0
192,0399564519,Deborah Harkness,9.978966013712034,Fantasy,436.0,2018-09-18,Multnomah Books,3.88,1,Time's Convert,1,0
193,0425270718,Ilona Andrews,10.035786936549613,Fantasy,327.0,2018-08-28,Multnomah Books,4.57,1,Magic Triumphs,1,0
