,title,author,rating,pages,publisher,genre,series,author_followers,publish_date,ISBN
0,"""I Give You My Body . . ."": How I Write Sex Scenes",Diana Gabaldon,4.19,118,Dell(first published August 2016),Nonfiction,0,144140.0,2016-08-16,9780399178573
1,Most Blessed of the Patriarchs: Thomas Jefferson and the Empire of the Imagination,Annette Gordon-Reed,3.71,400,Liveright,History,0,107.0,2016-04-13,9780871404428
2,"#AskGaryVee: One Entrepreneur's Take on Leadership, Social Media, and Self-Awareness",Gary Vaynerchuk,4.2,384,Harper Business,Business,0,1931.0,2016-03-08,9780062273123
3,#GIRLBOSS,Sophia Amoruso,3.69,256,Portfolio,Add,0,904.0,2014-05-06,9780399169274
4,#IMomSoHard,Kristin Hensley,4.11,288,HarperOne,Add,0,140.0,2019-04-02,9780062857699
5,,,,,,,0,,,9781984801838
6,'Til Death Do Us Part,Amanda Quick,3.81,352,Penguin Publishing Group,Romance,0,3911.0,2016-04-19,9780698193611
7,"F*ck, That's Delicious: An Annotated Guide to Eating Well",Action Bronson,4.17,192,Harry N. Abrams,Food,0,13.0,2017-09-12,9781419726552
8,"1,000 Places to See Before You Die: Revised Second Edition",Patricia Schultz,3.85,1216,Workman Publishing Company(first published January 1st 2003),Travel,0,68.0,2015-07-01,9780761156864
9,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,J.J. Smith,4.12,167,Adiva Publishing(first published February 1st 2014),Health,0,60.0,2014-02-09,9780982301821
10,"100 Deadly Skills: The SEAL Operative's Guide to Eluding Pursuers, Evading Capture, and Surviving Any Dangerous Situation",Clint Emerson,3.74,272,Atria Books,Nonfiction,0,38.0,2015-10-13,9781476796062
11,"101 Dog Tricks: Step by Step Activities to Engage, Challenge, and Bond with Your Dog",Kyra Sundance,3.93,208,Quarry Books(first published January 1st 2007),Animals,0,14.0,2007-04-01,9781592533251
12,,,,,,,0,,,9781250232649
13,11/22/63,Stephen King,4.31,849,Scribner,Fiction,0,673112.0,2011-11-08,9781451627282
14,113 Minutes,James Patterson,3.76,139,BookShots,Fiction,0,281261.0,2016-09-06,9780316317184
15,12: The Inside Story of Tom Brady's Fight for Redemption,Casey Sherman,3.93,320,"Little, Brown and Company",Sports,0,49.0,2018-07-31,9780316416382
16,12 Beast Vol. 3,OKAYADO,4.02,176,Seven Seas(first published August 9th 2015),Sequential,0,33.0,2016-02-09,9781626922617
17,13 Hours,Mitchell Zuckoff,4.28,328,Twelve,Nonfiction,0,506.0,2014-09-09,9781455582273
18,14th Deadly Sin,James Patterson,4.04,349,"Little, Brown and Company",Mystery,1,281261.0,2015-05-04,9780316407021
19,15th Affair,James Patterson,4.09,351,"Little, Brown and Company",Mystery,1,281261.0,2016-05-02,9780316407076
20,16th Seduction,James Patterson,4.07,350,"Little, Brown and Company",Mystery,1,281261.0,2017-05-01,9780316274036
21,21 Lessons for the 21st Century,Yuval Noah Harari,4.19,372,Spiegel & Grau(first published August 30th 2018),Nonfiction,0,17044.0,2018-09-04,9780525512172
22,"26 Marathons: What I've Learned About Faith, Identity, Running, and Life From Each Marathon I've Run",Meb Keflezighi,4.23,256,Rodale Books,Sports,0,38.0,2019-03-19,9781635652888
23,,,,,,,0,,,9781465425089
24,32 Yolks: From My Mother's Table to Working the Line,Eric Ripert,3.9,247,Random House(first published April 12th 2016),Food,0,125.0,2016-05-17,9780812992984
25,4 3 2 1,Paul Auster,3.84,866,Henry Holt and Co.,Fiction,0,8519.0,2017-01-31,9781627794466
