,title,author,rating,pages,publisher,ISBN,genre,series,author_followers,publish_date
0,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
1,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
2,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
3,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
4,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
5,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
6,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
7,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
8,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
9,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
10,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
11,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
12,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
13,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
14,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
15,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
16,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
17,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
18,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
19,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
20,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
21,Young Jane Young,Gabrielle Zevin,3.77,294,Algonquin Books,1616205040,Fiction,1616205040,4367,2017-08-22
22,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
23,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
24,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
25,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
26,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
27,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
28,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
29,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
30,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
31,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
32,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
33,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
34,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
35,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
36,The Fourth Monkey,J.D. Barker,4.14,404,Houghton Mifflin Harcourt,0544968840,Thriller,0544968840,2410,2017-06-27
